feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia
HEB24007	-1.42257856257966	-1.25791443525357	-9.18672522796145	-10.209876192212	-2.30854785246323	-10.8119122062921	-12.2617151237316	-12.5318042870994	-9.40009860788755	-12.6650708179628	-9.25732335461447	-14.8119122062921	-17.0901094652563	-14.7123765327412	-16.2973390334623	-17.0343046276286	-13.3713396149061
HEB24008	-1.31956355042692	-0.968795662050596	-10.6028436384223	-11.0457153458978	-3.58348309957388	-11.2754125678575	-12.668645696818	-12.9905737917054	-10.0209474407489	-13.5051469645351	-8.94909715572921	-14.5755362924265	-16.0901094652563	-17.8705934942268	-17.3125018865927	-17.3125018865927	-14.0901094652563
HEB24010	-3.15005420660702	-0.722462687624388	-10.0208747036093	-10.5689780269198	-1.86231867740737	-10.9154841445278	-12.2548694364918	-12.4710028673565	-10.0369644061476	-12.4138589602529	-8.66364794529892	-14.7784313925488	-15.2930045653785	-15.6409278687988	-19.0592863614329	-18.1003594874361	-14.3454719852727
HEB24017	-2.54824437577274	-0.5786253665329	-10.2075855873681	-10.3755302246822	-2.70373364499604	-10.982025886953	-12.452345821733	-12.6622688911073	-8.979316599695	-12.7153802275668	-9.65144592181272	-15.2299534003966	-15.5778767038169	-15.452345821733	-17.0373083224542	-16.7153802275668	-14.1304177268457
HEB24040	-3.56131515628419	-0.772593037189077	-9.92023688509954	-10.2170115027586	-1.62176553463917	-11.1056503938109	-12.4553234791811	-12.6182620503073	-9.8986500228914	-12.5872351546867	-10.0919754569138	-14.5872351546867	-15.2349334107558	-15.971899004922	-17.819895911477	-16.971899004922	-13.2349334107558
HEB24042	-0.979196910605062	-3.04994628992828	-8.67099344895019	-10.4033321647133	-1.45692280883134	-11.0686680818985	-12.0913881583985	-12.6092364632612	-8.92019149972018	-13.0686680818985	-9.5648423439027	-14.6092364632612	-15.3682283637574	-15.4837055811773	-19.0592863614329	-16.4837055811773	-13.6424033271964
HEB24058	-1.79962992254169	-1.54750964902039	-10.0246970957007	-10.5511074140668	-1.47513454600136	-10.9993117772808	-12.1903600702889	-12.706758284527	-8.68074269448335	-12.7817203422082	-7.4421078395366	-14.4255765319829	-15.310099314563	-16.2031841106465	-17.4255765319829	-16.2031841106465	-14.5511074140668
HEB24065	-1.97999393528588	-3.93285361588523	-9.19343326306759	-10.5847025964135	-0.570788522116266	-10.6957339088022	-12.0872029369427	-12.3609637493695	-8.5551477021681	-12.4383682530551	-9.51566095198383	-13.8420904391061	-15.257127938385	-14.7831967500526	-19.0592863614329	-17.4270529398273	-14.0007881851252
HEB24067	-1.18826699568418	-2.53196486248783	-10.0539140592532	-10.3577340799334	-1.39668587723118	-11.1799019966365	-12.3240032226209	-12.1635385504277	-9.7031211476448	-12.5749647961541	-7.83727803474425	-15.4114660638712	-14.8968928910415	-15.7593893672915	-19.0592863614329	-16.8968928910415	-13.264624675542
HEB24088	-1.47249793948223	-1.55169388286042	-9.51984475429648	-10.223738526857	-1.78952377874895	-11.072553056013	-12.2609981454261	-13.1023003994071	-8.06064124776985	-12.7803723045197	-8.81998416041856	-14.7803723045197	-15.1023003994071	-16.1023003994071	-19.0592863614329	-19.1003594874361	-13.1954098037985
