feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia
HEB24007	-1.42257856257966	-1.25791443525357	-9.18672522796145	-10.209876192212	-2.30854785246323	-10.8119122062921	-12.2617151237316	-12.5318042870994	-9.40009860788755	-12.6650708179628	-9.25732335461447	-14.8119122062921	-17.0901094652563	-14.7123765327412	-16.2973390334623	-17.0343046276286	-13.3713396149061
HEB24008	-1.31956355042692	-0.968795662050596	-10.6028436384223	-11.0457153458978	-3.58348309957388	-11.2754125678575	-12.668645696818	-12.9905737917054	-10.0209474407489	-13.5051469645351	-8.94909715572921	-14.5755362924265	-16.0901094652563	-17.8705934942268	-17.3125018865927	-17.3125018865927	-14.0901094652563
HEB24017	-2.54824437577274	-0.5786253665329	-10.2075855873681	-10.3755302246822	-2.70373364499604	-10.982025886953	-12.452345821733	-12.6622688911073	-8.979316599695	-12.7153802275668	-9.65144592181272	-15.2299534003966	-15.5778767038169	-15.452345821733	-17.0373083224542	-16.7153802275668	-14.1304177268457
HEB24040	-3.56131515628419	-0.772593037189077	-9.92023688509954	-10.2170115027586	-1.62176553463917	-11.1056503938109	-12.4553234791811	-12.6182620503073	-9.8986500228914	-12.5872351546867	-10.0919754569138	-14.5872351546867	-15.2349334107558	-15.971899004922	-17.819895911477	-16.971899004922	-13.2349334107558
HEB24042	-0.979196910605062	-3.04994628992828	-8.67099344895019	-10.4033321647133	-1.45692280883134	-11.0686680818985	-12.0913881583985	-12.6092364632612	-8.92019149972018	-13.0686680818985	-9.5648423439027	-14.6092364632612	-15.3682283637574	-15.4837055811773	-19.0592863614329	-16.4837055811773	-13.6424033271964
HEB24058	-1.79962992254169	-1.54750964902039	-10.0246970957007	-10.5511074140668	-1.47513454600136	-10.9993117772808	-12.1903600702889	-12.706758284527	-8.68074269448335	-12.7817203422082	-7.4421078395366	-14.4255765319829	-15.310099314563	-16.2031841106465	-17.4255765319829	-16.2031841106465	-14.5511074140668
HEB24088	-1.47249793948223	-1.55169388286042	-9.51984475429648	-10.223738526857	-1.78952377874895	-11.072553056013	-12.2609981454261	-13.1023003994071	-8.06064124776985	-12.7803723045197	-8.81998416041856	-14.7803723045197	-15.1023003994071	-16.1023003994071	-19.0592863614329	-18.7701428270545	-13.1954098037985
HEB24090	-2.40735970655103	-0.72496725741553	-5.12740843007035	-10.40102859059	-2.52442913122557	-11.4088059411817	-12.9178195886696	-12.750362842818	-9.6710607225486	-13.0332968060895	-9.81606608986883	-15.7702624002557	-15.4807557830607	-16.6182593068106	-16.940187401698	-15.7702624002557	-12.6182593068107
HEB24097	-1.24530803023249	-2.86012507438425	-6.75716265458154	-11.1424982575529	-3.2837437377858	-11.149161987834	-12.3041366478103	-13.0966945679398	-1.61465194519566	-12.9040494899974	-10.7747664730525	-15.2036097718563	-15.3190869892763	-17.8705934942268	-19.0592863614329	-18.7701428270545	-14.6561219765538
HEB24098	-2.32536965486477	-3.41399555741353	-9.05987789515068	-9.17974836765493	-0.518666140949758	-10.4517080032682	-12.3058571368047	-12.2874786074899	-9.4905970166618	-12.7332783605394	-8.8650411963348	-14.3433318422234	-15.1318277370297	-15.1318277370297	-19.0592863614329	-18.7701428270545	-12.7332783605394
