feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia
HEB24001	-1.52531796838412	-1.4669927287633	-8.51348555500567	-10.5560569387573	-1.82034226942206	-10.8648950342042	-12.2583763901166	-12.2583763901166	-9.96609375697778	-12.8556172206162	-8.89546673322278	-14.3336645174209	-15.1410194394785	-16.1410194394785	-19.332458386144	-18.0863617321916	-14.6815878208412
HEB24002	-1.19424290822888	-1.18729557813282	-7.92902813033107	-10.8222482573129	-3.10438796733031	-11.1266889254714	-12.5948377612098	-12.8012886386773	-10.0219480927893	-13.179800261931	-10.0382039835472	-13.9781664007613	-15.9167658560972	-15.6943734347608	-19.332458386144	-18.0863617321916	-13.9781664007613
HEB24003	-1.09091562078569	-2.87557822436001	-9.47911321848338	-10.7957209814375	-1.36328155519293	-10.9252806152064	-12.0569862944182	-13.1444491356686	-10.3052453475716	-13.3895616335051	-9.19900529929065	-15.8225210407812	-14.4440094175275	-15.337094213611	-19.332458386144	-18.0863617321916	-13.5005929458938
HEB24004	-2.21379185320361	-0.873370300973316	-8.05443971336782	-10.1539753869187	-2.1399549166038	-10.7103687354431	-12.4554393792464	-12.3763678082552	-8.00341571034335	-12.9904766546359	-9.03343385524752	-14.2128690759723	-15.7978315766935	-16.2832584038637	-19.332458386144	-18.0863617321916	-13.9613303089763
HEB24005	-2.37396339474757	-1.79103669482014	-9.88803453041848	-10.2552011800782	-0.968797236291099	-10.6815836529511	-11.9056644244403	-12.1499012348199	-9.36269601238374	-12.2665461536722	-8.730493253432	-15.0290468399456	-14.7489389207528	-15.0290468399456	-16.8364017620032	-16.251439261282	-14.9295111663946
HEB24006	-1.54546735584497	-1.93675877125485	-10.0190998884073	-10.8181128306742	-1.35329697145555	-10.9116535985136	-12.2791627277098	-13.3336105117322	-9.67064549900978	-12.8910922760313	-10.0529586924234	-14.2970846357071	-18.0637242217485	-15.0340502298733	-16.6190127305945	-18.0863617321916	-13.4095593649655
HEB24016	-2.66451306549323	-0.803296215526743	-9.77140258894648	-10.4490143776333	-1.93178689934938	-10.8788488788402	-12.3088367195851	-12.2182341708041	-9.68434585467726	-12.6207807258998	-8.49957473176279	-14.4787617210274	-17.0637242217485	-16.0637242217485	-16.4787617210274	-18.0863617321916	-13.0193301023901
HEB24023	-4.73236247531894	-2.41581994129589	-9.59711466990669	-9.75167924339672	-0.383345566284101	-10.4181445288614	-12.2052958801958	-12.3530495006395	-8.14512603445495	-12.2052958801958	-10.3077984195446	-14.025474842611	-15.2181199205534	-14.8555498411687	-16.2181199205534	-18.0863617321916	-13.7400726237487
HEB24025	-1.50386927235431	-1.02190011288241	-8.46317614568709	-11.218958897672	-2.74687507782771	-11.1103176376681	-12.417372456074	-12.9214149614116	-10.0807228554798	-12.3629246720516	-10.4836061544741	-15.0023349567951	-16.1178121742151	-15.3808465800489	-19.332458386144	-16.3808465800489	-14.4548471614926
HEB24034	-0.742700521548801	-2.51854955096313	-8.92405500931798	-10.9077654680908	-2.17831771626559	-11.3785804243348	-12.0917974157284	-12.225380570107	-10.2525507712725	-13.225380570107	-8.64581132815609	-15.3845791649563	-15.4841148385072	-16.4841148385072	-19.332458386144	-18.0863617321916	-14.0435422471212
HEB24037	-1.56654038742851	-2.21368221077634	-10.0040707703346	-10.4034266473811	-1.17682569215411	-10.8420509669776	-12.1403922415474	-13.179920605734	-9.78760318295523	-12.8687189174397	-11.1666237831205	-14.9348081078975	-15.7648831064551	-15.2343683897564	-16.6128800130101	-15.9348081078975	-13.4753764892602
HEB24044	-1.27197976242523	-2.11223601539334	-10.0979073192448	-10.5883658335027	-1.51301022264645	-10.8783081128001	-12.4254272623765	-12.2917488271446	-10.0730088002675	-12.3437434647828	-11.0895599765313	-14.8640002761162	-15.5269652888386	-15.9420027881174	-17.1119277895598	-15.5269652888386	-13.468071599785
HEB24059	-1.14967747957825	-2.28298225552463	-9.90180127292845	-10.81723697767	-1.57235509805213	-10.8904859597006	-11.642558446257	-12.0660575242841	-10.1580358466569	-12.4530806473933	-8.07137132418053	-15.8904859597006	-18.0637242217485	-15.3055234589795	-19.332458386144	-18.0863617321916	-14.083131037643
HEB24081	-4.76622592541788	-0.505643042827072	-10.1827112666393	-10.1852534612018	-1.97980281410328	-11.2826098366934	-12.6045379315808	-12.6182128684779	-9.54129549758896	-12.9749063815259	-9.63723009464823	-14.9401409633652	-15.332458386144	-15.8730267675067	-18.332458386144	-18.0863617321916	-12.762602777813
HEB24106	-1.48521940582567	-3.83627386383121	-8.27868344599498	-10.0251685071627	-0.821227982222821	-10.7596228821729	-12.3698964714232	-13.1026125925881	-10.2446315974605	-12.3956595674883	-10.8771924785541	-14.4896357156973	-15.1900754338384	-15.7306438152011	-19.332458386144	-18.0863617321916	-12.7471319379897
HEB24110	-3.24835392668733	-5.23537712435064	-9.72862750412212	-9.53467243331674	-0.212317619536222	-10.3572307329705	-12.2600744955163	-12.3220022446595	-10.433793070117	-12.3094022078798	-11.7798528274773	-14.5110360690495	-14.5110360690495	-15.4544525406831	-18.1548922588242	-18.0863617321916	-13.8329641639369
HEB24113	-2.47449910893806	-4.57350496308068	-9.68140729006527	-10.186110218871	-0.371428925232177	-10.3287754477367	-12.186110218871	-12.8381869154507	-10.0822093527587	-11.9934651409286	-10.9371969212818	-14.2829717581236	-14.7524570414248	-15.2829717581236	-19.332458386144	-18.0863617321916	-13.9934651409286
HEB24122	-1.73951444646281	-1.02110398349229	-10.3620573051635	-10.7632812290737	-2.30681170317545	-10.902403031222	-12.5869012054941	-12.8227141425929	-9.07734610743095	-12.5307581274566	-9.5252621397017	-15.2422530341066	-15.564181128994	-16.3942561275517	-17.2422530341066	-18.0863617321916	-13.5418133159656
HEB24133	-1.51957095865221	-1.29220753293762	-9.4776881463912	-10.5409530398492	-2.07538663503982	-11.1135318161145	-11.979395143463	-12.6764680105057	-9.9963482767442	-12.7208621298642	-9.46583356004542	-14.9135072078065	-15.0204224117231	-15.7208621298642	-19.332458386144	-18.0863617321916	-13.9135072078065
HEB24134	-1.13218756250318	-1.62851139204688	-8.14406761757888	-11.1913284102778	-2.23921121113261	-11.2025121487705	-12.6231741972432	-13.1637425786059	-10.2922573191286	-13.2539403875775	-8.43170366551966	-15.0382116965221	-15.4007817759068	-15.886208603077	-19.332458386144	-18.0863617321916	-14.886208603077
HEB24135	-1.15716876183584	-1.91497905334755	-9.48419574930057	-10.8804335414507	-1.83267666547062	-10.8149597039734	-12.4398609500647	-12.3950067142804	-10.2989101246963	-12.3092768402545	-9.1943332625821	-14.7617890449521	-15.3092768402545	-15.3092768402545	-19.332458386144	-18.0863617321916	-14.0555202480088
HEB24136	-1.29681304761611	-1.34080634272276	-6.95375234572219	-10.004015542573	-2.43344633175457	-11.0395225449627	-12.4402522075577	-13.0833176628424	-10.1990007589699	-12.9332922188378	-8.9355203197299	-14.4657872996648	-16.2731422217224	-16.4657872996648	-17.6881797210012	-16.6881797210012	-12.8137106030851
HEB24137	-1.75474495834654	-1.33451043227895	-10.1321654218047	-10.4533665350487	-1.78584829345057	-10.828973889499	-12.167498494917	-12.7825809840145	-6.22663283951322	-12.3859220140505	-10.0723412618767	-14.1794711365831	-15.5013992314705	-15.3859220140505	-17.5013992314705	-17.0863617321916	-14.3314742300281
HEB24138	-1.27566509477968	-1.6245309731096	-10.2936870374713	-10.7659334604496	-1.95176964224693	-11.3019863606898	-12.5561698489413	-13.1345296148383	-10.2936870374713	-13.1149008080893	-9.96680216910019	-15.6239144555772	-15.7393916729971	-16.0024260788309	-19.332458386144	-16.7393916729971	-12.8486207427519
