feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__
HEB24099	-1.04590916046989	-5.2845679248032	-7.93215181106649	-2.07745154220117	-3.52180504413475	-10.4178366693653	-2.69001846631799	-11.5998547427956	-12.6669689386541	-13.7373582665455	-10.6669689386541	-8.85308597359902	-14.3223207672667	-14.120686906097	-8.65414489829654	-14.4347954965251	-16.0592863614329	-14.5567860209037	-15.2519314393753	-16.0592863614329	-18.0592863614329	-18.8300212013815	-16.8368939400964	-18.8364572394867	-12.7373582665455	-16.8368939400964	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24100	-1.20674753130758	-6.10922573691206	-7.27729039632885	-3.42950653231595	-9.94351258356374	-10.3380444274079	-1.16750012219367	-10.8828498016571	-12.4848858157372	-13.1767635203749	-9.90278864871045	-9.16984410643509	-14.4177716198787	-13.5552751436286	-8.96581125067252	-13.4848858157372	-14.877203238516	-14.353641282459	-15.5552751436286	-14.9703126429075	-16.877203238516	-16.5552751436286	-18.7701299190099	-18.8364572394867	-14.7072782370737	-17.877203238516	-17.2922407377948	-16.5552751436286	-16.5552751436286	-20.1418240063643
HEB24139	-1.11468802435203	-5.72315351364321	-7.7110426761783	-1.54590640083339	-9.0234546088848	-10.4072174028305	-2.58806190957521	-11.436829058941	-12.7389486727482	-13.4979405732444	-10.0588289389867	-12.7554367955368	-14.8764521964981	-13.8408282867674	-9.86746341327086	-14.443492789222	-15.291489695777	-15.7389486727482	-15.7389486727482	-16.3910253693279	-17.6134177906643	-16.8764521964981	-17.6134177906643	-18.8364572394867	-13.7065271950558	-19.9494173314223	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24140	-1.27499689392913	-2.15467216461206	-7.78401091495846	-1.74564697593117	-10.8045002904914	-11.6741922681457	-4.14086253583985	-11.762065024171	-12.7831266396988	-13.5975709865428	-10.6807649220692	-13.4111578623119	-14.36808914042	-13.6741922681457	-11.3894627912126	-14.4555519816703	-15.6481970596127	-15.4555519816703	-15.6481970596127	-16.285626980228	-19.0592863614329	-18.8300212013815	-18.7701299190099	-18.8364572394867	-13.8408421375551	-18.4555519816703	-17.8705894809492	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24141	-1.30410131419783	-4.91656972453974	-7.39818518336185	-2.86729559462227	-6.47122839023513	-10.6367848946503	-1.99733958647743	-10.7975382501944	-12.4101924847846	-13.3770256208494	-2.69684593591329	-12.7279327827085	-14.5885297260431	-14.3128952834297	-9.9630131269713	-13.8822609290998	-15.3770256208494	-14.2514947387655	-15.1360175213456	-15.6665322380444	-17.2514947387655	-16.5145291445993	-18.7701299190099	-17.8364572394867	-14.3770256208494	-15.6665322380444	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24142	-1.70563421194864	-4.15054973378927	-7.25781949122103	-1.74175647375242	-7.58225807695225	-10.0448339649945	-1.63516300346805	-11.1588692082405	-12.2691512632554	-13.2557307474931	-10.0887773125821	-12.8813352327116	-14.103727654048	-13.8011648840276	-9.78179955916066	-14.103727654048	-15.3101785315154	-14.2032633275989	-15.5511866310192	-15.4256557489354	-19.0592863614329	-18.8300212013815	-16.6886901547692	-17.0106182496565	-12.2826977950933	-16.4256557489354	-20.1418240063643	-18.9040494899974	-17.4256557489354	-20.1418240063643
HEB24143	-1.2802111213074	-4.93199403889094	-7.45696556520262	-1.88365525057058	-4.57100386096072	-10.9009671432703	-2.10601558538816	-11.0461650588102	-12.246102629319	-12.9637028986183	-10.3418138288988	-12.0126124990992	-14.455555994948	-13.7551162768069	-9.1701537760857	-13.8116998051732	-14.7551162768069	-15.2856309935056	-15.2856309935056	-16.8705934942268	-19.0592863614329	-18.8300212013815	-16.8705934942268	-18.8364572394867	-13.3680931536976	-19.9494173314223	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24144	-1.28318556800949	-2.27335894784347	-7.38608791099687	-2.92637292759114	-10.2676403112127	-10.71677100916	-2.06336511878708	-11.2584803119273	-12.5849811366044	-13.474798218854	-10.1193175642556	-10.9549307463547	-14.3143335466608	-13.3528076944754	-9.23358613277641	-13.9772985593832	-16.240332965217	-14.5622610601044	-15.7549061380468	-15.392336058662	-19.0592863614329	-18.8300212013815	-18.7701299190099	-18.8364572394867	-14.1699436373256	-19.9494173314223	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24175	-1.38489316427917	-2.87597942179873	-7.47577181943624	-1.77709659629069	-9.33177033385365	-10.4037564466794	-2.50995403025163	-11.0804869337122	-12.417239676043	-13.2330860589942	-9.22491212754855	-11.6089174760136	-13.9820242948265	-13.8851627555739	-8.66813351900458	-14.0644864550185	-15.6925176776315	-14.197752985882	-15.2939683011413	-15.8300212013815	-19.0592863614329	-17.8300212013815	-17.3445943742112	-17.5669867955477	-13.4240288417056	-17.5669867955477	-17.8300212013815	-17.8300212013815	-18.1519492962688	-20.1418240063643
HEB24176	-1.3678506168048	-1.91439151689014	-7.4156050295605	-3.68665059167801	-10.0994736698914	-10.5704575741735	-1.95622349928348	-11.1927010909741	-12.1407732989302	-13.0836293918266	-9.82176268742518	-12.6511888462863	-14.2782768226802	-13.0696902008688	-9.01524241684638	-13.7928499955099	-14.8632393234013	-14.5606765533809	-14.9627749969522	-16.0696902008688	-17.1851674182887	-18.8300212013815	-17.7701299190099	-18.8364572394867	-13.0152424168464	-16.7701299190099	-20.1418240063643	-18.9040494899974	-18.7701299190099	-20.1418240063643
HEB24177	-1.81538624456101	-4.26406775279235	-7.06274102485285	-4.75029818812292	-7.21139237685593	-9.74648906519881	-0.87196601979772	-10.721398084236	-11.8424134851973	-12.884233660892	-4.0034797214405	-12.0350585631397	-14.0890534527805	-12.9493286891139	-10.3533109998837	-13.3867340014212	-15.1137155070147	-14.3867340014212	-14.884233660892	-15.0648059065338	-19.0592863614329	-17.1643415800847	-17.3867340014212	-15.884233660892	-14.0409591645794	-15.9716965021423	-17.649768407255	-18.9040494899974	-19.7701299190099	-17.649768407255
HEB24178	-0.879744157504903	-5.82923028569652	-7.36829636116032	-4.07726852195109	-8.44919604867017	-9.64636911254959	-1.48587109442513	-10.9366347433309	-11.9597857075814	-12.5878169301945	-9.124218250568	-10.7804620081369	-13.942911889017	-13.1992516422768	-6.84365583462407	-13.6009923189422	-15.1597232780902	-14.5111956485916	-15.0472485488318	-15.5618217216615	-16.1992516422768	-16.784214142998	-17.1992516422768	-16.784214142998	-13.2398936267742	-17.0472485488318	-20.1418240063643	-18.9040494899974	-18.3691766437191	-20.1418240063643
HEB24179	-1.23518970443063	-1.67927716141883	-7.40300513630296	-5.80949298996173	-5.52722113036207	-10.6155165948689	-2.22082803455405	-11.2675932914486	-12.3948284797447	-13.0914363362947	-10.581638584957	-12.5685955474814	-14.2489776132812	-13.2214968768591	-11.183440650597	-14.2305990839664	-15.3249264665145	-14.5570999086436	-15.2864523186999	-15.5801835217566	-17.3644548307012	-17.7270249100859	-16.4469169908931	-17.7270249100859	-13.3644548307012	-18.9494173314223	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
HEB24180	-1.61915948291339	-1.15723538278445	-7.28511219365073	-5.29971393359772	-10.1246378425457	-10.4462368930615	-2.40917053818514	-11.2772260891283	-12.3097805892762	-12.6912884649899	-9.95237459903415	-12.8917530473916	-14.3400268761444	-12.8476304941593	-8.93900275801469	-13.8476304941593	-14.8651179208881	-14.4413102119815	-15.5788137357315	-15.3157793298977	-16.7632383068689	-17.4153150034486	-17.4153150034486	-18.8364572394867	-13.3400268761444	-17.2226699255062	-20.1418240063643	-18.9040494899974	-19.7701299190099	-20.1418240063643
