feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24133	-1.51957095865221	-1.85398167297969	-7.3921872025362	-2.99142725784841	-9.4776881463912	-10.5409530398492	-2.07618901993393	-11.3371578373901	-11.979395143463	-13.0204224117231	-9.9963482767442	-12.8879721156994	-14.135899629143	-13.3285447070854	-9.46583356004542	-14.6333992886138	-15.135899629143	-14.9135072078065	-15.0204224117231	-15.7208621298642	-18.6881797210012	-16.7208621298642	-18.0863720994896	-16.3989340349768	-13.9135072078065	-19.2081366979644	-18.0863720994896	-18.6881797210012	-17.7208621298642
HEB24134	-1.13218756250318	-6.4840492361704	-7.70331771033155	-1.70156567177471	-8.14406761757888	-11.1913284102778	-2.24329949271732	-11.3689329098674	-12.6231741972432	-13.6231741972432	-10.2922573191286	-10.7043109599686	-14.4007817759068	-14.0788536810194	-8.43170366551966	-14.4532491958009	-15.2081366979644	-15.0382116965221	-15.4007817759068	-15.886208603077	-18.6881797210012	-19.0863720994896	-18.0863720994896	-17.3989340349768	-14.886208603077	-18.2081366979644	-18.0863720994896	-18.6881797210012	-18.7208621298642
HEB24135	-1.15716876183584	-2.4181065588428	-7.24567434108905	-3.80621560603424	-9.48419574930057	-10.8804335414507	-1.83345573736691	-11.0040920092018	-12.4398609500647	-12.9653224390372	-10.2989101246963	-12.6877884635083	-13.8397915569533	-13.202361636338	-9.1943332625821	-13.4247540576745	-14.9222537171453	-14.7617890449521	-15.3092768402545	-15.3092768402545	-18.6881797210012	-19.0863720994896	-18.0863720994896	-17.3989340349768	-14.0555202480088	-15.8397915569533	-18.0863720994896	-18.6881797210012	-16.4247540576745
HEB24136	-1.29681304761611	-2.87824415829298	-7.55247043489685	-1.98016460808093	-6.95375234572219	-10.004015542573	-2.43427069730446	-11.2124462900348	-12.4402522075577	-13.4917825081977	-10.1990007589699	-13.2070530312646	-14.1856793804721	-13.7185533700448	-8.9355203197299	-14.1856793804721	-15.4657872996648	-14.4657872996648	-16.2731422217224	-16.4657872996648	-17.6881797210012	-19.0863720994896	-16.6881797210012	-17.3989340349768	-12.8137106030851	-17.2731422217224	-18.0863720994896	-17.6881797210012	-18.7208621298642
HEB24137	-1.7547553256445	-3.07678400964917	-7.13181225248974	-1.88431525292267	-10.1321757891027	-10.4533769023466	-1.7872624825573	-11.0095565024387	-12.167508862215	-13.2534820853248	-6.22664320681118	-11.7917513505979	-13.9989092582392	-13.3314845973261	-10.0723516291746	-13.7288200948715	-14.6269404808523	-14.1794815038811	-15.5014095987684	-15.3859323813485	-17.5014095987684	-18.0863720994896	-17.0863720994896	-15.9164470980473	-14.3314845973261	-19.2081366979644	-17.0863720994896	-18.6881797210012	-18.7208621298642
HEB24138	-1.27566509477968	-2.626667108977	-7.57574199698129	-2.66973212919729	-10.2936870374713	-10.7659334604496	-1.95228833884193	-11.4234873657375	-12.5561698489413	-13.5964337191551	-10.2936870374713	-13.3936168361554	-14.9320367509395	-13.6804979839435	-9.96680216910019	-14.7393916729971	-15.6239144555772	-15.6239144555772	-15.7393916729971	-16.0024260788309	-18.6881797210012	-19.0863720994896	-16.7393916729971	-17.3989340349768	-12.8486207427519	-17.7393916729971	-18.0863720994896	-18.6881797210012	-17.3243541737183
