feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Firmicutes.c__Bacilli.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae.
HEB24007	149831	4833	1612	543	778	160320	691	340	705	9996	285	42308	197	82	55	220	596	11935	13206	95	62	309	2304	30	27	19	658	24	0	11	14	0	15	0	0	5	5	5	0	6	8	0	57	431	0	3	3	9	5	38	2	0	0	0	0	0	0	0	0	0	0	0	0
HEB24008	195250	172990	1848	553	652	73116	314	231	984	6514	335	15765	171	75	52	247	470	7641	6799	96	55	257	2543	26	26	18	988	16	0	8	20	7	0	0	4	0	0	3	0	0	0	0	34	167	0	3	4	0	5	28	0	0	0	0	0	0	4	0	0	0	0	0	0
HEB24010	62840	299807	2975	970	985	35352	541	370	1467	15178	540	82749	248	115	78	314	535	28491	21559	98	56	744	3809	50	41	33	1386	30	20	18	20	14	11	0	7	7	12	0	6	8	10	0	157	349	3	2	0	9	12	27	0	0	0	3	0	0	0	0	0	2	0	0	0
HEB24017	91544	189345	2779	838	993	165804	455	405	11357	8345	495	38649	235	96	66	290	1066	10746	9750	85	49	69	3116	46	31	27	669	37	20	11	14	11	12	10	4	6	0	4	0	6	0	0	40	434	0	5	0	4	12	30	2	0	0	0	7	2	0	0	0	0	0	0	0
HEB24040	97055	652401	5403	1801	1806	14790	1194	972	17526	35413	985	223127	487	206	145	652	1212	50533	42776	179	90	176	5148	87	33	56	1060	57	45	33	47	30	18	19	12	17	18	5	0	16	0	0	285	774	0	9	12	6	28	120	4	0	0	2	0	0	0	3	18	2	0	0	0
HEB24042	278333	20373	2178	785	806	41817	1349	406	2766	20999	426	117099	224	126	73	349	1135	31793	24054	136	82	571	2472	40	25	14	726	24	12	15	22	13	12	7	3	4	0	0	0	12	0	4	75	411	7	6	0	9	0	43	0	7	0	0	0	0	0	0	0	0	0	3	0
HEB24058	151142	43852	2507	809	1038	132030	507	352	86880	9557	428	52267	234	113	60	350	1287	15235	15896	140	66	265	9243	57	24	28	3037	24	20	16	24	11	7	7	6	6	11	3	0	0	3	0	64	479	0	7	0	0	6	22	0	0	0	3	0	0	7	0	0	0	2	0	0
HEB24065	177856	32700	3610	1149	1314	6704	1204	459	6001	27867	645	272242	386	162	107	531	1874	76296	83126	191	83	735	7064	67	36	35	963	57	38	23	48	18	25	13	10	9	5	0	0	11	27	3	800	315	0	4	0	11	20	43	4	0	0	0	3	0	3	0	0	0	0	0	0
HEB24067	267168	96660	2540	902	941	4028	574	465	18877	20948	424	110809	233	119	109	369	732	37087	23244	119	79	457	19199	35	28	27	2668	38	26	20	14	17	11	13	8	8	6	0	6	7	3	0	176	869	0	5	0	7	11	62	4	0	0	0	0	0	0	0	0	0	3	0	0
HEB24088	151740	111832	1926	639	782	28445	575	353	15986	8482	362	57567	178	86	33	239	1581	15779	19937	68	49	60	3859	45	16	15	934	30	0	15	15	12	6	15	0	0	9	0	6	0	0	0	115	271	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	2	2
HEB24090	94473	287350	1955	688	723	13198	14390	372	2819	8847	400	52288	165	65	60	228	617	9381	12268	69	30	60	1362	33	18	27	558	22	15	13	9	11	5	8	8	0	3	4	0	0	0	0	71	276	0	9	0	7	5	80	0	0	0	0	4	0	0	2	0	0	0	0	0
HEB24097	206420	5585	1655	626	693	58689	4535	217	6628	4076	310	19338	193	97	48	293	160187	6521	10358	129	65	49	3177	26	21	26	280	28	9	8	13	12	0	10	5	0	5	0	0	0	2	0	61	119	0	0	0	7	7	19	0	0	0	0	0	0	2	0	0	2	0	0	2
HEB24098	78387	15863	2285	699	890	16885	740	681	121207	15532	426	70564	248	78	50	248	549	36357	16724	113	33	278	14134	43	32	0	847	23	24	18	19	11	11	11	8	7	5	0	0	11	0	0	95	699	0	0	0	7	15	58	5	0	4	0	0	6	4	2	0	0	0	0	0
HEB24099	396176	19911	2319	749	1030	194148	71341	599	7893	10251	363	54519	264	126	60	419	504	26631	18239	150	113	1772	8789	43	40	32	2034	37	22	12	34	21	12	8	3	0	8	3	0	0	6	0	161	416	0	7	0	13	15	120	0	0	3	0	0	7	0	0	0	0	0	0	0
HEB24100	208024	5753	2216	789	888	44691	489	372	46270	16292	433	95196	255	84	52	374	503	32125	17623	111	91	836	6312	55	22	14	963	42	15	16	23	10	15	11	10	7	9	4	0	0	0	5	130	326	0	0	0	0	18	18	2	0	0	3	0	0	5	5	0	0	0	0	2
HEB24111	267427	70094	1571	562	682	49880	824	409	803	15946	284	57518	187	68	124	251	798	13504	15587	94	51	234	1528	31	15	22	602	23	16	4	18	12	9	5	0	0	8	0	0	0	0	4	64	612	5	0	0	10	7	68	0	0	0	0	0	0	0	0	0	0	0	2	0
HEB24120	266071	9656	1760	566	662	882	10283	375	1100	22071	340	113172	201	118	49	325	288	41476	28668	141	82	220	2533	41	22	26	584	33	16	6	17	14	7	9	10	0	0	2	10	0	0	0	254	299	0	0	0	7	9	48	0	0	0	2	0	0	0	0	0	0	0	0	0
HEB24123	31591	150111	8390	2524	2828	2768	1591	2084	3930	69948	1546	681304	940	331	199	884	1229	158973	117588	299	137	496	4685	154	69	83	1454	106	75	58	70	38	33	19	22	33	28	10	7	16	0	8	477	996	12	9	11	18	67	99	6	7	11	8	0	14	12	0	22	0	6	6	0
HEB24139	277293	10329	1915	699	956	206027	1156	443	869	12127	360	52166	217	88	52	312	564	15971	15850	100	81	87	2424	42	20	22	644	27	16	15	11	11	7	4	6	5	8	3	0	0	0	5	69	513	0	3	0	11	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0
