feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24037	-1.56654038742851	-2.91330755972283	-7.14405235777914	-3.72219773423579	-10.0040707703346	-10.4034266473811	-1.17748972457518	-10.9922936025582	-12.1403922415474	-13.5085433531954	-9.78760318295523	-12.262382765926	-14.4753764892602	-13.7648831064551	-11.1666237831205	-13.9806117975106	-15.4753764892602	-14.9348081078975	-15.7648831064551	-15.2343683897564	-16.6128800130101	-16.6128800130101	-15.9348081078975	-18.1178121742151	-13.4753764892602	-19.5641774067937	-19.1119277895598	-18.7208621298642
HEB24044	-1.27197976242523	-3.05969939621235	-7.28895869910647	-3.25207759370716	-10.0979073192448	-10.5883658335027	-1.51379530348318	-11.0951195018732	-12.4254272623765	-12.5727689784517	-10.0730088002675	-12.3570402873963	-13.7899996946724	-13.3305680760351	-11.0895599765313	-13.5269652888386	-14.7899996946724	-14.8640002761162	-15.5269652888386	-15.9420027881174	-17.1119277895598	-19.2914697605648	-15.5269652888386	-16.5269652888386	-13.468071599785	-19.5641774067937	-18.1119277895598	-18.7208621298642
HEB24059	-1.14967747957825	-2.53584629098419	-7.26782399219501	-5.23540251450263	-9.90180127292845	-10.81723697767	-1.58145968928792	-11.0917441679477	-11.642558446257	-12.2466297699259	-10.1580358466569	-8.88486141050673	-13.831592270647	-13.4310543410633	-8.07137132418053	-13.7750087422807	-15.1535203655344	-15.8904859597006	-18.0637163232569	-15.3055234589795	-19.332458386144	-19.2914697605648	-18.0863617321916	-15.8904859597006	-14.083131037643	-19.5641774067937	-19.1119277895598	-18.7208621298642
HEB24081	-4.76622592541788	-0.536364895324043	-7.34554976144629	-6.84612613337532	-10.1827112666393	-10.1852534612018	-1.9808030748869	-11.455941439579	-12.6045379315808	-12.7778695344663	-9.54129549758896	-12.4744773910164	-14.7474958854228	-13.4995683719792	-9.63723009464823	-14.6886021963693	-15.8730267675067	-14.9401409633652	-15.332458386144	-15.8730267675067	-18.332458386144	-16.7474958854228	-18.0863617321916	-18.1178121742151	-12.762602777813	-19.5641774067937	-19.1119277895598	-18.7208621298642
HEB24106	-1.48521940582567	-4.75199834967699	-7.38594441265512	-5.21512316030438	-8.27868344599498	-10.0251685071627	-0.822298109050771	-10.881736403699	-12.3698964714232	-13.4896357156973	-10.2446315974605	-11.2185318798877	-14.3827205117808	-13.14568131448	-10.8771924785541	-13.6982223375088	-15.3827205117808	-14.4896357156973	-15.1900754338384	-15.7306438152011	-19.332458386144	-19.2914697605648	-18.0863617321916	-18.1178121742151	-12.7471319379897	-18.1900754338384	-19.1119277895598	-18.7208621298642
HEB24110	-3.24834651188162	-6.08526725305294	-7.02785780101391	-7.91111581205665	-9.72862008931641	-9.53466501851102	-0.213089276626795	-10.5255282239389	-12.2600670807106	-12.6791514130521	-10.4337856553113	-11.0674220027682	-13.7286200893164	-13.1104907246601	-11.7798454126716	-13.5401749999033	-14.8329567491311	-14.5110286542438	-14.5110286542438	-15.4544451258774	-18.1548848440185	-19.2914697605648	-18.0863617321916	-18.1178121742151	-13.8329567491311	-19.5641774067937	-17.5699223432973	-16.8329567491311
HEB24113	-2.47449910893806	-5.54075590327015	-6.99346514092857	-6.30251479074802	-9.68140729006527	-10.186110218871	-0.372068824742073	-10.4642120727937	-12.186110218871	-13.2434433939369	-10.0822093527587	-11.5103822542266	-13.8090405697911	-12.9293348035089	-10.9371969212818	-13.0605793367871	-15.4528967595659	-14.2829717581236	-14.7524570414248	-15.2829717581236	-19.332458386144	-19.2914697605648	-18.0863617321916	-18.1178121742151	-13.9934651409286	-16.4528967595659	-19.1119277895598	-18.7208621298642
HEB24122	-1.73951072426256	-3.25654965953661	-7.44978435192644	-1.38691360854028	-10.3620535829633	-10.7632775068734	-2.30902893711699	-11.0803616295295	-12.5868974832938	-13.171859984015	-9.0773423852307	-11.6512880705638	-14.1379126520917	-13.4767145655434	-9.52525841750145	-13.8362569522306	-15.171859984015	-15.2422493119064	-15.5641774067937	-16.3942524053514	-17.2422493119064	-17.5641774067937	-18.0863617321916	-16.2422493119064	-13.5418095937653	-18.5641774067937	-19.1119277895598	-18.7208621298642
HEB24133	-1.51957095865221	-1.85398167297969	-7.3921872025362	-2.99142725784841	-9.4776881463912	-10.5409530398492	-2.07618901993393	-11.3371578373901	-11.979395143463	-13.0204224117231	-9.9963482767442	-12.8879721156994	-14.135899629143	-13.3285447070854	-9.46583356004542	-14.6333992886138	-15.135899629143	-14.9135072078065	-15.0204224117231	-15.7208621298642	-19.332458386144	-16.7208621298642	-18.0863617321916	-16.3989340349768	-13.9135072078065	-19.5641774067937	-19.1119277895598	-17.7208621298642
HEB24134	-1.13218756250318	-6.4840492361704	-7.70331771033155	-1.70156567177471	-8.14406761757888	-11.1913284102778	-2.24329949271732	-11.3689329098674	-12.6231741972432	-13.6231741972432	-10.2922573191286	-10.7043109599686	-14.4007817759068	-14.0788536810194	-8.43170366551966	-14.4532491958009	-15.2081366979644	-15.0382116965221	-15.4007817759068	-15.886208603077	-19.332458386144	-19.2914697605648	-18.0863617321916	-18.1178121742151	-14.886208603077	-18.2081366979644	-19.1119277895598	-18.7208621298642
HEB24135	-1.15716876183584	-2.4181065588428	-7.24567434108905	-3.80621560603424	-9.48419574930057	-10.8804335414507	-1.83345573736691	-11.0040920092018	-12.4398609500647	-12.9653224390372	-10.2989101246963	-12.6877884635083	-13.8397915569533	-13.202361636338	-9.1943332625821	-13.4247540576745	-14.9222537171453	-14.7617890449521	-15.3092768402545	-15.3092768402545	-19.332458386144	-19.2914697605648	-18.0863617321916	-18.1178121742151	-14.0555202480088	-15.8397915569533	-19.1119277895598	-16.4247540576745
HEB24136	-1.29680621632327	-2.87823732700014	-7.55246360360401	-1.9801577767881	-6.95374551442936	-10.0040087112802	-2.43426386601163	-11.212439458742	-12.4402453762648	-13.4917756769049	-10.1989939276771	-13.2070461999718	-14.1856725491792	-13.7185465387519	-8.93551348843706	-14.1856725491792	-15.465780468372	-14.465780468372	-16.2731353904296	-16.465780468372	-17.6881728897084	-19.2914697605648	-16.6881728897084	-18.1178121742151	-12.8137037717923	-17.2731353904296	-19.1119277895598	-18.7208621298642
HEB24137	-1.75474495834654	-3.07677364235121	-7.13180188519178	-1.88430488562471	-10.1321654218047	-10.4533665350487	-1.78725211525935	-11.0095461351408	-12.167498494917	-13.2534717180269	-6.22663283951322	-11.7917409833	-13.9988988909413	-13.3314742300281	-10.0723412618767	-13.7288097275735	-14.6269301135543	-14.1794711365831	-15.5013992314705	-15.3859220140505	-17.5013992314705	-18.0863617321916	-17.0863617321916	-15.9164367307493	-14.3314742300281	-19.5641774067937	-19.1119277895598	-18.7208621298642
HEB24138	-1.27566509477968	-2.626667108977	-7.57574199698129	-2.66973212919729	-10.2936870374713	-10.7659334604496	-1.95228833884193	-11.4234873657375	-12.5561698489413	-13.5964337191551	-10.2936870374713	-13.3936168361554	-14.9320367509395	-13.6804979839435	-9.96680216910019	-14.7393916729971	-15.6239144555772	-15.6239144555772	-15.7393916729971	-16.0024260788309	-19.332458386144	-19.2914697605648	-16.7393916729971	-18.1178121742151	-12.8486207427519	-17.7393916729971	-19.1119277895598	-17.3243541737183
