feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia	k__Archaea.p__Euryarchaeota.c__Halobacteria	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria	k__Bacteria.p__Bacteroidetes.c__Flavobacteriia	k__Bacteria.p__.Thermi..c__Deinococci
HEB24046	-7.29632601793473	-0.636911489415276	-10.8881639647468	-2.37454950902201	-4.91256239989654	-10.1411255620012	-3.63890705682593	-5.25648871885732	-11.3435809255415	-6.34004153290678	-14.0128597121961	-11.6749900734397	-14.9348572001949	-15.7233530950011	-8.29480258057998	-16.3754297915808	-11.7733937775007	-14.7904672908597	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24055	-1.7554176393481	-2.65440344244852	-9.80852457755502	-11.0357926204325	-0.888979664183984	-10.5137178256667	-12.0986803263879	-12.6694289678894	-9.97553209561504	-12.2023029574621	-10.120267188596	-13.7568918091397	-14.2974601905024	-15.4349637142523	-19.5616198473859	-15.2974601905024	-14.2333298530827	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24056	-1.80956878206116	-2.99795343573077	-9.69244810453331	-11.087241098538	-0.774863970977761	-10.6394668128471	-11.9735843167424	-12.6256610133221	-10.1110878404923	-12.0270235757039	-9.89489168511981	-13.725196686873	-14.3399065309882	-15.1699815295459	-19.5616198473859	-16.1699815295459	-14.4819255358607	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24057	-1.90186597695369	-2.0881448452023	-9.79032295979531	-10.2939543823431	-1.02234610658653	-10.6279553095311	-12.0633414542017	-12.5378799652292	-9.89341645275942	-12.287556611145	-10.9129787191379	-14.3528480713967	-15.0202727323098	-15.522773072839	-16.7858074786728	-17.1077355735602	-14.0202727323098	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24064	-6.39344055059204	-0.785501335453388	-9.96457478066116	-3.202879962182	-4.00593751369349	-8.40581523489723	-2.99093474566122	-3.97255715783054	-10.7641607284202	-4.76882923643597	-16.2344806632002	-9.89760222684691	-14.2047333198062	-16.6495181624791	-7.86270401886232	-20.4957164736786	-11.2610224506527	-11.0250272975713	-13.5156624157443	-15.4271257411426	-18.8736283468531
HEB24068	-2.10237902884051	-1.22083208985354	-10.2016950015376	-10.3545939006872	-1.5983173077619	-10.8695938432408	-12.270473279523	-11.7706273924398	-8.09118617487696	-12.4502943171078	-9.72937666417345	-14.6266170897482	-15.5700335613819	-15.6855107788018	-16.6855107788018	-20.4957164736786	-13.5980479375515	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24071	-2.10788688510538	-2.61855912087257	-9.75828226699307	-9.83284961137515	-0.738841943896098	-10.2736246720676	-11.8585871727888	-12.595552766955	-9.97262241603479	-12.2545158491199	-9.84995686764532	-14.5764439440073	-14.5024433625635	-15.0170165353932	-19.5616198473859	-20.4957164736786	-13.6950884405059	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24072	-2.74764208004996	-0.909420638780815	-5.44654706195023	-5.62596961291086	-2.40837881215734	-7.93740625328372	-4.22150042252051	-6.03358356852689	-8.45982728793616	-7.12296190643979	-9.04795905567363	-10.4022004703541	-11.4844581524732	-16.0991679965884	-10.9443498875363	-20.4957164736786	-11.5369255723673	-12.9494208770837	-12.9494208770837	-13.1922774009799	-18.8736283468531
HEB24073	-4.39092463889487	-0.732226725953085	-10.5676335167763	-5.06277066641319	-3.30835346584728	-7.90558362938796	-3.29059358320907	-3.84025976540687	-8.51082716115778	-4.87961498449969	-11.6028229452386	-9.00603500912061	-9.99236007222354	-17.5276354488443	-9.91845671070236	-17.9426729481232	-11.7202805267867	-10.2940157720846	-11.3084669283822	-12.5734391384575	-18.8736283468531
HEB24074	-7.142713905694	-0.811961335942573	-10.9151473582072	-2.4528196629953	-4.55377735794971	-9.01960398102278	-3.06378611197955	-4.32459764979128	-11.7605874275118	-5.5851646170899	-13.7321309814626	-9.13500955267304	-13.7779346710757	-17.7321309814626	-8.53245863662624	-17.4102028865752	-12.0667950642774	-12.7896164761234	-17.4082536324282	-16.2726993628253	-18.8736283468531
HEB24082	-8.01071958278133	-0.633612830969277	-10.7022211447912	-7.41510983786066	-1.58457488390335	-11.5778608064152	-8.06159796518126	-7.474947772662	-10.8002532277517	-11.502572679111	-10.9298885081683	-14.5272347333453	-14.8002532277517	-15.8002532277517	-14.6847760103317	-17.3852157284728	-11.1757623628439	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24084	-1.01853966143222	-4.08922191503783	-9.68987702596491	-10.8287751317866	-1.18202494563558	-10.8702944012249	-11.9683264841854	-12.5760090614066	-10.2472272954782	-12.7395077936895	-8.34170483182702	-15.1609715621278	-15.3833639834642	-16.1609715621278	-16.9683264841854	-20.4957164736786	-13.8390434672404	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24089	-1.06474507488505	-2.26985797327928	-7.95638233477719	-11.0748631769122	-1.70325281614603	-10.9264179028803	-12.2807674754601	-12.9328441720398	-10.0122786395342	-13.0677737521259	-10.0963429043226	-14.7401990940974	-15.41827099921	-17.1552365933762	-17.1552365933762	-20.4957164736786	-13.3478816713186	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24091	-2.88175439329165	-0.80890821385965	-5.34050294320671	-5.69410914736418	-2.47010105282365	-10.2729215708104	-5.18680866961461	-5.14764537102533	-9.2301014271941	-7.04373269644836	-9.36129015345763	-10.9879218334799	-11.7677960191154	-16.1737883787912	-10.6899726015269	-19.4957164736786	-11.5241729197278	-14.58882587807	-16.4082536324282	-17.6249560541014	-17.1737883787912
HEB24093	-2.72032200826161	-1.34336231611275	-10.0845692472605	-11.0519645818286	-1.15227855487021	-10.8078599045297	-12.1095156043908	-12.4913862397344	-10.0600469281265	-12.4483175178425	-10.5932658537536	-15.5357803590929	-15.5357803590929	-14.8353406409518	-17.5357803590929	-16.2138522642055	-14.7284254370353	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24101	-6.12259637232075	-0.765665705475078	-10.4326266927013	-2.05283391199762	-4.35026626041893	-10.4642198173966	-4.00125354958029	-5.69598665309831	-9.60238894440673	-5.71091054051387	-12.7008788078061	-10.0869372401132	-12.7781845339735	-17.9614063580293	-8.80405942266647	-20.4957164736786	-11.9917800070728	-12.4068175063517	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24102	-6.56554065119567	-0.757777091537006	-11.4441025237457	-1.6516782357148	-4.85926526240487	-10.4992440779382	-5.1838102147178	-7.3601800402006	-11.1513207745178	-6.9691798233659	-14.8274311632972	-11.3737131958543	-14.3509931193542	-16.5436381972966	-9.35381363841659	-17.7660306186331	-12.5181031051895	-13.7660306186331	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24103	-6.46651013180429	-0.664935089111742	-10.3104204060292	-3.44344567811516	-4.19888480708961	-8.7566044204401	-3.15193492136827	-4.24054209364745	-10.4489146783868	-4.68925704367763	-12.9119848740875	-10.3642334524634	-12.0595420625013	-16.0819098755298	-8.98783218985788	-17.4969473748086	-11.4819970333427	-13.4380536857551	-17.4082536324282	-17.6249560541014	-13.8724565099008
HEB24104	-6.81974524768021	-0.905423770340777	-11.1168124381607	-1.57686361201478	-4.6147444654644	-6.17698455080896	-4.87741966429802	-5.97902628241044	-11.4858578203409	-6.62164660779016	-14.1122969570382	-8.81492209650985	-11.7688891347404	-14.8492625512044	-8.84738526396371	-20.4957164736786	-12.3681358614678	-19.140617611756	-9.689391214426	-11.1910510684526	-18.8736283468531
HEB24105	-4.70566449426773	-1.16614973046052	-10.0099134219203	-10.3118037635711	-0.968535073172535	-10.4016004339217	-12.096535776668	-12.5649227005398	-10.2953156407825	-12.6050001399151	-9.96684470002838	-13.7547472594198	-15.4328191645324	-15.4328191645324	-19.5616198473859	-20.4957164736786	-13.5848222579775	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24114	-8.03038073302254	-0.33973509818035	-10.5836900324736	-7.0487387477425	-2.51684402939871	-12.0601280764166	-7.40129567906908	-6.07837467633737	-10.4997675489285	-11.725709037346	-10.4373335021697	-14.9987275317525	-16.3612976111372	-15.8467244383074	-13.7092209145575	-20.4957164736786	-11.9398338426989	-19.140617611756	-15.9987275317525	-17.6249560541014	-18.8736283468531
HEB24115	-5.5781598388927	-0.518367440725222	-9.35401505069724	-5.08048741357297	-2.90945336427914	-8.01447361868167	-4.59337498417639	-4.19431849071244	-10.1274094318182	-6.44455186137246	-14.2051962137195	-9.73093717740453	-11.1449915795136	-17.3426997374694	-9.13129810005093	-20.4957164736786	-10.6312048308193	-12.221684336508	-17.4082536324282	-13.831737818192	-13.8572729102992
HEB24117	-7.9147412042687	-0.313513536491683	-10.6186699084897	-7.83953486007953	-2.54057403662208	-11.2642737605507	-7.71434327598427	-7.77144947937052	-9.75216182523719	-11.0750482031494	-10.348665947841	-14.3544715695222	-15.5013129578515	-16.9867397850218	-13.9163504571304	-20.4957164736786	-8.94891831958679	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
