feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24106	-1.48521940582567	-4.75199834967699	-7.38594441265512	-5.21512316030438	-8.27868344599498	-10.0251685071627	-0.822298109050771	-10.881736403699	-12.3698964714232	-13.4896357156973	-10.2446315974605	-11.2185318798877	-14.3827205117808	-13.14568131448	-10.8771924785541	-13.6982223375088	-15.3827205117808	-14.4896357156973	-15.1900754338384	-15.7306438152011	-19.349136499311	-19.0863617321916	-19.1945058304213	-18.5547547818697	-12.7471319379897	-18.1900754338384	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24122	-1.73951444646281	-3.25655338173687	-7.4497880741267	-1.38691733074054	-10.3620573051635	-10.7632812290737	-2.30903265931725	-11.0803653517297	-12.5869012054941	-13.1718637062152	-9.07734610743095	-11.651291792764	-14.1379163742919	-13.4767182877437	-9.5252621397017	-13.8362606744308	-15.1718637062152	-15.2422530341066	-15.564181128994	-16.3942561275517	-17.2422530341066	-17.564181128994	-19.1945058304213	-16.2422530341066	-13.5418133159656	-18.564181128994	-18.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24133	-1.51957095865221	-1.85398167297969	-7.3921872025362	-2.99142725784841	-9.4776881463912	-10.5409530398492	-2.07618901993393	-11.3371578373901	-11.979395143463	-13.0204224117231	-9.9963482767442	-12.8879721156994	-14.135899629143	-13.3285447070854	-9.46583356004542	-14.6333992886138	-15.135899629143	-14.9135072078065	-15.0204224117231	-15.7208621298642	-19.349136499311	-16.7208621298642	-19.1945058304213	-16.3989340349768	-13.9135072078065	-19.564181128994	-19.564181128994	-20.349136499311	-18.7771472032062	-17.7208621298642
HEB24134	-1.13218756250318	-6.4840492361704	-7.70331771033155	-1.70156567177471	-8.14406761757888	-11.1913284102778	-2.24329949271732	-11.3689329098674	-12.6231741972432	-13.6231741972432	-10.2922573191286	-10.7043109599686	-14.4007817759068	-14.0788536810194	-8.43170366551966	-14.4532491958009	-15.2081366979644	-15.0382116965221	-15.4007817759068	-15.886208603077	-19.349136499311	-19.0863617321916	-19.1945058304213	-18.5547547818697	-14.886208603077	-18.2081366979644	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24135	-1.15716876183584	-2.4181065588428	-7.24567434108905	-3.80621560603424	-9.48419574930057	-10.8804335414507	-1.83345573736691	-11.0040920092018	-12.4398609500647	-12.9653224390372	-10.2989101246963	-12.6877884635083	-13.8397915569533	-13.202361636338	-9.1943332625821	-13.4247540576745	-14.9222537171453	-14.7617890449521	-15.3092768402545	-15.3092768402545	-19.349136499311	-19.0863617321916	-19.1945058304213	-18.5547547818697	-14.0555202480088	-15.8397915569533	-19.564181128994	-20.349136499311	-18.7771472032062	-16.4247540576745
HEB24136	-1.29681304761611	-2.87824415829298	-7.55247043489685	-1.98016460808093	-6.95375234572219	-10.004015542573	-2.43427069730446	-11.2124462900348	-12.4402522075577	-13.4917825081977	-10.1990007589699	-13.2070530312646	-14.1856793804721	-13.7185533700448	-8.9355203197299	-14.1856793804721	-15.4657872996648	-14.4657872996648	-16.2731422217224	-16.4657872996648	-17.6881797210012	-19.0863617321916	-16.6881797210012	-18.5547547818697	-12.8137106030851	-17.2731422217224	-17.6881797210012	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24137	-1.75474495834654	-3.07677364235121	-7.13180188519178	-1.88430488562471	-10.1321654218047	-10.4533665350487	-1.78725211525935	-11.0095461351408	-12.167498494917	-13.2534717180269	-6.22663283951322	-11.7917409833	-13.9988988909413	-13.3314742300281	-10.0723412618767	-13.7288097275735	-14.6269301135543	-14.1794711365831	-15.5013992314705	-15.3859220140505	-17.5013992314705	-18.0863617321916	-17.0863617321916	-15.9164367307493	-14.3314742300281	-19.564181128994	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24138	-1.27566509477968	-2.626667108977	-7.57574199698129	-2.66973212919729	-10.2936870374713	-10.7659334604496	-1.95228833884193	-11.4234873657375	-12.5561698489413	-13.5964337191551	-10.2936870374713	-13.3936168361554	-14.9320367509395	-13.6804979839435	-9.96680216910019	-14.7393916729971	-15.6239144555772	-15.6239144555772	-15.7393916729971	-16.0024260788309	-19.349136499311	-19.0863617321916	-16.7393916729971	-18.5547547818697	-12.8486207427519	-17.7393916729971	-19.564181128994	-20.349136499311	-18.7771472032062	-17.3243541737183
HEB24169	-1.30528415405372	-2.09898614883859	-7.46305891443793	-2.19003877709636	-9.9281236435318	-10.3006496253187	-2.92394518761397	-11.4482696913303	-12.5612339399196	-12.8734030683446	-9.77928089098008	-12.5225880120201	-14.5942489971476	-13.4664934499492	-9.75481189538618	-14.1993893798063	-15.3047423799526	-14.349136499311	-15.2616736580607	-15.4911555041835	-18.349136499311	-19.0863617321916	-17.0272084044237	-18.5547547818697	-13.5036464483667	-16.6486967811699	-17.349136499311	-19.349136499311	-18.7771472032062	-18.7208621298642
HEB24170	-2.06654701675873	-1.9400038630659	-6.06268701475016	-2.56315069075412	-10.0503613889224	-10.6307906729023	-1.69419776469979	-10.9150264777177	-12.2693525630075	-13.0767074850651	-10.0056577337056	-10.7038982211755	-14.5292196897626	-13.0311928258127	-8.40754985692751	-13.8543150637286	-14.8075208522497	-14.3848297804274	-15.192184702485	-15.3177155845689	-17.04018160904	-17.192184702485	-17.04018160904	-17.5547547818697	-13.0767074850651	-16.3621097039273	-16.192184702485	-20.349136499311	-17.7771472032062	-18.7208621298642
HEB24171	-1.3572714026982	-2.20572080013881	-7.38489056731881	-3.36278235051413	-9.72499308175534	-10.354556525008	-1.8137672842317	-11.1647064657781	-12.4369091868855	-13.2521693070285	-10.3676465244484	-12.9191860236321	-14.5263442704675	-13.2801836831981	-9.61833573986238	-13.9753291016696	-15.3087528353948	-14.8651461839192	-14.9526090251696	-15.9526090251696	-17.145254103112	-19.0863617321916	-16.9526090251696	-18.5547547818697	-13.5096655293208	-16.7826840237273	-15.3676465244484	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24172	-3.21580463815619	-2.40160304632093	-6.96911233420484	-4.14406998699277	-9.4359336992562	-8.45180590406297	-0.679191505569722	-10.5688923743446	-12.0770392780149	-12.9499825417001	-8.32844174239458	-12.0186952917841	-13.9168156777649	-12.8605474581181	-7.69720711000911	-13.4693567007937	-14.8843942000725	-13.9168156777649	-14.761537452287	-15.1667939307732	-16.6758075782611	-17.2063222949599	-16.4693567007937	-16.5688923743446	-13.776334454215	-17.5688923743446	-19.564181128994	-20.349136499311	-17.0543192015148	-18.7208621298642
HEB24173	-1.43415164089658	-2.33825744579986	-7.35912771086508	-1.94272153578432	-10.1930354659568	-10.875703236606	-2.6564911018614	-11.1836192411206	-12.568581076494	-12.8038704918449	-8.20727604966966	-12.6551687614901	-14.4477266816196	-13.4606657373271	-9.56333808450597	-14.0851566022349	-14.8975295990592	-14.7315196476202	-15.3971006085497	-16.1676187624269	-17.0851566022349	-19.0863617321916	-16.7956499850399	-16.1676187624269	-14.3481910080687	-16.6701191029561	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
HEB24174	-2.1636749175854	-0.90477509033755	-7.43345331148328	-5.24774573308048	-10.3781621251364	-11.1392233949201	-2.28115824191945	-11.5622376149218	-12.6835439111439	-13.4396183282578	-10.3923126134795	-12.7953347366015	-14.7090790032511	-13.6584529301811	-9.0544429747231	-14.3069805596797	-15.5164339253087	-15.0570023066714	-15.7090790032511	-15.7090790032511	-18.1945058304213	-19.0863617321916	-18.1945058304213	-17.3465089238664	-14.0407004943423	-18.1945058304213	-19.564181128994	-20.349136499311	-18.7771472032062	-18.7208621298642
