Day,Timepoint,Mouse,ABX,Hormone,Group_Total,Group_Time_Total,Fat_percentage,Lean_mass_percentage,Free_water_percentage,Total_water_percentage
D5,Endpoint,702,Non_ABX,PL,Non_ABX_PL,Non_ABX_PL_Endpoint,2.52,16.08,0.26,14.52
D-3,Baseline,703,Non_ABX,PL,Non_ABX_PL,Non_ABX_PL_Baseline,1.91,16.59,0.39,15.09
D5,Endpoint,703,Non_ABX,PL,Non_ABX_PL,Non_ABX_PL_Endpoint,1.75,16.21,0.30,14.76
D-3,Baseline,704,Non_ABX,PL,Non_ABX_PL,Non_ABX_PL_Baseline,2.05,17.35,0.28,16.02
D5,Endpoint,704,Non_ABX,PL,Non_ABX_PL,Non_ABX_PL_Endpoint,2.52,17.51,0.12,15.72
D-3,Baseline,705,Non_ABX,PL,Non_ABX_PL,Non_ABX_PL_Baseline,3.82,13.82,0.38,12.48
D5,Endpoint,705,Non_ABX,PL,Non_ABX_PL,Non_ABX_PL_Endpoint,3.22,13.54,0.20,12.47
D-3,Baseline,706,Non_ABX,PL,Non_ABX_PL,Non_ABX_PL_Baseline,1.89,16.85,0.35,15.41
D5,Endpoint,706,Non_ABX,PL,Non_ABX_PL,Non_ABX_PL_Endpoint,2.14,17.10,0.18,15.47
D-3,Baseline,711,ABX,PL,ABX_PL,ABX_PL_Baseline,1.89,13.87,0.37,12.63
D5,Endpoint,711,ABX,PL,ABX_PL,ABX_PL_Endpoint,2.30,14.26,0.28,13.02
D-3,Baseline,712,ABX,PL,ABX_PL,ABX_PL_Baseline,1.39,15.21,0.25,14.06
D5,Endpoint,712,ABX,PL,ABX_PL,ABX_PL_Endpoint,2.01,15.97,0.17,14.18
D-3,Baseline,713,ABX,PL,ABX_PL,ABX_PL_Baseline,1.69,16.24,0.09,14.59
D5,Endpoint,713,ABX,PL,ABX_PL,ABX_PL_Endpoint,2.06,16.95,0.21,14.93
D-3,Baseline,714,ABX,PL,ABX_PL,ABX_PL_Baseline,3.08,14.72,0.60,13.70
D5,Endpoint,714,ABX,PL,ABX_PL,ABX_PL_Endpoint,4.05,15.64,0.18,13.89
D-3,Baseline,715,ABX,PL,ABX_PL,ABX_PL_Baseline,2.75,15.44,0.34,14.30
D5,Endpoint,715,ABX,PL,ABX_PL,ABX_PL_Endpoint,3.70,15.64,0.17,13.69
D-3,Baseline,716,ABX,PL,ABX_PL,ABX_PL_Baseline,1.99,13.42,0.23,11.96
D5,Endpoint,716,ABX,PL,ABX_PL,ABX_PL_Endpoint,2.98,14.23,0.15,12.88
