SampleID,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,k__Bacteria;__;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales,k__Bacteria;p__Firmicutes;c__Clostridia;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32,k__Bacteria;p__Firmicutes;__;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales,Unassigned;__;__;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales,k__Bacteria;p__Bacteroidetes;__;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__,k__Bacteria;p__Firmicutes;c__Bacilli;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__,k__Bacteria;p__Firmicutes;c__Clostridia;o__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MKC10,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;__,k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales,k__Bacteria;p__Verrucomicrobia;__;__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales,k__Bacteria;p__Actinobacteria;__;__
HEB24182,34918,637398,31697,11658,1149,154167,78635,907,290949,403005,957,92,438,12553,198,183,18,881,99,8,1969,0,0,896,165,2249,644,740,923,0,0,1254,98,0,693,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
HEB24183,13249,1117748,51988,6191,998,149662,60028,1608,90336,33267,696,421,253,64303,136,115,27,2714,371,23,4882,167,4,9670,392,2139,223,372,2533,19,0,188,0,0,67,0,0,0,0,0,0,0,0,14,0,0,83,0,0,80
HEB24184,29794,1189835,69240,11870,915,213896,109118,1376,48994,21098,1095,125,438,44232,420,40,19,2272,537,11,4259,0,6,13037,295,4330,1194,629,2410,0,183,337,255,54,0,0,0,0,376,0,42,0,0,72,0,0,0,0,0,93
HEB24185,14022,474110,46944,7644,867,50190,74987,6893,141465,38918,2128,103,236,49827,181,194,16,781,20,52,2938,118,6,946,211,854,397,819,1145,29,158,185,389,0,105,34,0,0,55,36,0,0,0,24,0,0,24,0,0,0
HEB24186,8990,507510,14664,2270,902,24951,32981,1570,494769,455273,580,117,157,4802,77,101,29,642,199,20,802,33,0,35,86,266,115,76,1314,6,23,129,0,0,81,0,0,0,115,0,0,0,0,5,0,0,45,0,0,0
HEB24187,33344,565158,49433,7727,5837,250032,85919,2704,68376,63510,7360,89,358,62741,194,977,24,1709,69,12,3573,161,5,118,351,2888,162,511,1581,0,0,71,0,44,42,0,0,0,14,0,53,0,0,0,14,6,3,0,20,20
HEB24188,55573,939019,75221,12919,2406,238892,137717,1263,126495,22388,2579,141,2560,76285,584,570,41,1789,935,19,3804,294,4,383,488,14405,485,4615,3165,447,410,3624,33,0,0,0,0,0,160,0,0,125,0,0,0,0,0,0,0,0
HEB24189,24863,927940,64245,8135,1745,128038,84427,917,338918,208074,789,255,368,42496,442,262,20,1660,366,21,3879,55,0,855,318,3448,626,789,2045,82,205,548,0,0,91,157,0,0,162,25,0,0,73,0,0,0,0,0,0,82
HEB24190,53478,901853,73919,12796,3871,564113,104722,2004,168468,32300,1070,428,616,38790,93,453,32,3319,432,338,6801,152,8,1116,122,3344,609,597,1497,0,282,139,80,0,374,195,0,0,397,0,91,0,0,38,0,169,0,0,165,0
HEB24191,10709,510774,31319,3486,879,359491,44468,3441,177266,138601,521,180,271,18322,92,113,20,580,126,22,2067,54,0,270,160,688,99,430,961,0,32,149,88,27,53,14,0,0,51,0,0,0,0,0,0,0,17,0,0,0
HEB24192,15476,636734,63973,8432,1346,66381,59472,1023,214603,67523,803,246,455,248070,167,143,35,1882,87,67,2099,954,6,411,275,20658,91,3891,1640,0,172,465,2316,0,105,26268,0,0,10,2597,0,0,63,13,0,129,0,0,14,0
HEB24193,29927,852991,68612,11128,1167,18631,119007,1440,103645,45124,864,547,1211,57548,74,80,23,3682,118,0,9189,297,6,82,128,3053,965,2541,2105,0,81,263,156,52,676,0,0,0,125,0,0,0,0,0,0,0,0,0,0,37
HEB24194,26890,1275312,32596,5246,1649,136404,71180,1329,158724,74238,3531,198,538,24149,503,222,48,817,142,60,3795,159,12,1271,471,1818,250,626,2479,66,60,220,0,0,0,0,0,0,63,0,8,0,0,150,0,0,0,0,0,20
HEB24195,39670,1286573,111710,19690,2383,366086,130965,1340,58991,20907,993,288,10162,95820,119,532,52,4463,289,32,2830,10,9,344,506,4692,256,27783,3075,88,126,7969,601,0,427,0,51,0,0,0,0,0,0,840,0,0,0,0,0,0
HEB24196,30118,1659576,38989,5603,1490,53867,89751,14837,87054,28340,824,199,293,42828,119,114,30,2738,272,23,8563,26,11,17830,274,2034,269,2053,2209,103,49,81,101,0,500,0,0,0,157,0,0,0,0,0,0,0,0,0,0,306
HEB24197,12902,1147601,56088,3703,1132,110532,56076,962,92584,83761,646,164,291,86792,51,91,31,301,160,26,2709,0,3,1969,401,1331,189,500,3342,0,10,301,28,0,327,0,0,0,19,0,0,23,0,0,0,0,0,0,0,0
HEB24198,30677,1236737,83880,12496,1204,94592,119096,1466,189953,83463,1139,397,229,84501,53,601,30,2500,2024,26,6013,109,13,1219,560,5165,1012,1656,2316,0,504,833,290,88,234,0,0,0,127,0,0,200,0,0,0,0,0,0,0,0
