Date,Time,Day,Mouse,Hormone,Antibiotics,Full_Group,Weight_g
9/12/24,2:15 PM,D-3,512,Saline,ABX,Saline_ABX,18.5
9/13/24,1:00 PM,D-2,512,Saline,ABX,Saline_ABX,18.8
9/14/24,12:15 PM,D-1,512,Saline,ABX,Saline_ABX,19.6
9/15/24,10:00 AM,D0,512,Saline,ABX,Saline_ABX,19
9/16/24,9:30 AM,D2,512,Saline,ABX,Saline_ABX,20
9/17/24,8:00 AM,D3 ,512,Saline,ABX,Saline_ABX,19.9
9/18/24,9:00 AM,D4,512,Saline,ABX,Saline_ABX,20.2
9/19/24,8:00 AM,D5,512,Saline,ABX,Saline_ABX,19.7
9/20/24,9:00 AM,D6,512,Saline,ABX,Saline_ABX,20.5
9/21/24,9:00 AM,D7,512,Saline,ABX,Saline_ABX,21.1
9/22/24,8:45 AM,D8,512,Saline,ABX,Saline_ABX,21
9/11/24,2:00 PM,D-4,513,Saline,ABX,Saline_ABX,19.6
9/12/24,2:15 PM,D-3,513,Saline,ABX,Saline_ABX,22.6
9/13/24,4:00 PM,D-2,513,Saline,ABX,Saline_ABX,19.2
9/14/24,12:15 PM,D-1,513,Saline,ABX,Saline_ABX,19.9
9/15/24,10:00 AM,D0,513,Saline,ABX,Saline_ABX,20.7
9/16/24,9:30 AM,D2,513,Saline,ABX,Saline_ABX,21
9/17/24,8:00 AM,D3 ,513,Saline,ABX,Saline_ABX,20.3
9/18/24,9:00 AM,D4,513,Saline,ABX,Saline_ABX,20.1
9/19/24,8:00 AM,D5,513,Saline,ABX,Saline_ABX,19.6
9/20/24,9:00 AM,D6,513,Saline,ABX,Saline_ABX,20.9
9/21/24,9:00 AM,D7,513,Saline,ABX,Saline_ABX,21.3
9/22/24,8:45 AM,D8,513,Saline,ABX,Saline_ABX,21.3
9/11/24,2:00 PM,D-4,514,Saline,ABX,Saline_ABX,20.1
9/12/24,2:15 PM,D-3,514,Saline,ABX,Saline_ABX,19.8
9/13/24,4:00 PM,D-2,514,Saline,ABX,Saline_ABX,19.9
9/14/24,3:00 PM,D-1,514,Saline,ABX,Saline_ABX,20.8
9/15/24,10:00 AM,D0,514,Saline,ABX,Saline_ABX,21.7
9/16/24,9:30 AM,D2,514,Saline,ABX,Saline_ABX,21.4
9/17/24,8:00 AM,D3 ,514,Saline,ABX,Saline_ABX,21.6
9/18/24,9:00 AM,D4,514,Saline,ABX,Saline_ABX,21.4
9/19/24,8:00 AM,D5,514,Saline,ABX,Saline_ABX,20.8
9/20/24,9:00 AM,D6,514,Saline,ABX,Saline_ABX,21.8
9/21/24,9:00 AM,D7,514,Saline,ABX,Saline_ABX,21.7
9/22/24,8:45 AM,D8,514,Saline,ABX,Saline_ABX,21.8
9/11/24,2:00 PM,D-4,515,Saline,ABX,Saline_ABX,18.5
9/12/24,2:15 PM,D-3,515,Saline,ABX,Saline_ABX,17.6
9/13/24,4:00 PM,D-2,515,Saline,ABX,Saline_ABX,16.9
9/14/24,3:00 PM,D-1,515,Saline,ABX,Saline_ABX,18.6
9/15/24,10:00 AM,D0,515,Saline,ABX,Saline_ABX,19.3
9/16/24,9:30 AM,D2,515,Saline,ABX,Saline_ABX,19.8
9/17/24,8:00 AM,D3 ,515,Saline,ABX,Saline_ABX,19.5
9/18/24,9:00 AM,D4,515,Saline,ABX,Saline_ABX,19.8
9/19/24,8:00 AM,D5,515,Saline,ABX,Saline_ABX,19.3
9/20/24,9:00 AM,D6,515,Saline,ABX,Saline_ABX,19.5
