Date,Day,Mouse,Time_min,Blood_glucose,Notes,,,,,
9/14/24,D-1,511,60,128.5,,,,,,
9/14/24,D-1,511,90,158,,,,,,
9/14/24,D-1,511,120,163,,,,,,
9/14/24,D-1,514,0,147.5,,,,,,
9/14/24,D-1,514,15,105,,,,,,
9/14/24,D-1,514,30,95,,,,,,
9/14/24,D-1,514,60,113,,,,,,
9/14/24,D-1,514,90,173,,,,,,
9/14/24,D-1,514,120,168.5,,,,,,
9/14/24,D-1,515,0,158.5,,,,,,
9/14/24,D-1,515,15,130.5,,,,,,
9/14/24,D-1,515,30,118,,,,,,
9/14/24,D-1,515,60,174,,,,,,
9/14/24,D-1,515,90,165.5,,,,,,
9/14/24,D-1,515,120,183.5,,,,,,
9/14/24,D-1,613,0,159,,,,,,
9/14/24,D-1,613,15,120,,,,,,
9/14/24,D-1,613,30,134,,,,,,
9/14/24,D-1,613,60,144,,,,,,
9/14/24,D-1,613,90,197,,,,,,
9/14/24,D-1,613,120,183,,,,,,
9/14/24,D-1,616,0,155,,,,,,
9/14/24,D-1,616,15,118,,,,,,
9/14/24,D-1,616,30,136,,,,,,
9/14/24,D-1,616,60,147,,,,,,
9/14/24,D-1,616,90,165,,,,,,
9/14/24,D-1,616,120,164,,,,,,
9/14/24,D-1,712,0,154.5,,,,,,
9/14/24,D-1,712,15,87.5,,,,,,
9/14/24,D-1,712,30,112.5,,,,,,
9/14/24,D-1,712,60,140,,,,,,
9/14/24,D-1,712,90,178.5,,,,,,
9/14/24,D-1,712,120,167.5,,,,,,
9/14/24,D-1,713,0,169,,,,,,
9/14/24,D-1,713,15,137,,,,,,
9/14/24,D-1,713,30,127,,,,,,
9/14/24,D-1,713,60,147.5,,,,,,
9/14/24,D-1,713,90,191,,,,,,
9/14/24,D-1,713,120,189.5,,,,,,
9/14/24,D-1,714,0,146,,,,,,
9/14/24,D-1,714,15,103,,,,,,
9/14/24,D-1,714,30,134.5,,,,,,
9/14/24,D-1,714,60,159.5,,,,,,
9/14/24,D-1,714,90,181,,,,,,
9/14/24,D-1,714,120,164.5,,,,,,
9/18/24,D7,501,0,189.5,,,,,,
9/18/24,D7,501,15,96,,,,,,
9/18/24,D7,501,30,94.5,,,,,,
9/18/24,D7,501,60,127,,,,,,
9/18/24,D7,501,90,181.5,,,,,,
9/18/24,D7,501,120,193.5,,,,,,
9/18/24,D7,506,0,185,,,,,,
9/18/24,D7,506,15,89.5,,,,,,
9/18/24,D7,506,30,96.5,,,,,,
