Date,Day,Mouse,Time_min,Blood_glucose
9/13/24,D-2,614,15,235
9/13/24,D-2,614,30,205
9/13/24,D-2,614,60,180.5
9/13/24,D-2,614,90,195.5
9/13/24,D-2,614,120,177
9/13/24,D-2,615,0,179
9/13/24,D-2,615,15,208
9/13/24,D-2,615,30,191.5
9/13/24,D-2,615,60,195
9/13/24,D-2,615,90,191
9/13/24,D-2,615,120,189
9/13/24,D-2,711,0,151
9/13/24,D-2,711,15,265
9/13/24,D-2,711,30,218.5
9/13/24,D-2,711,60,206.5
9/13/24,D-2,711,90,182
9/13/24,D-2,711,120,184
9/13/24,D-2,713,0,184.5
9/13/24,D-2,713,15,235.5
9/13/24,D-2,713,30,225.5
9/13/24,D-2,713,60,206.5
9/13/24,D-2,713,90,183
9/13/24,D-2,713,120,168
9/13/24,D-2,714,0,150.5
9/13/24,D-2,714,15,182.5
9/13/24,D-2,714,30,197
9/13/24,D-2,714,60,183
9/13/24,D-2,714,90,174.5
9/13/24,D-2,714,120,169
9/17/24,D6,502,0,181.5
9/17/24,D6,502,15,291.5
9/17/24,D6,502,30,216
9/17/24,D6,502,60,216
9/17/24,D6,502,90,193.5
9/17/24,D6,502,120,203
9/17/24,D6,504,0,172.5
9/17/24,D6,504,15,291.5
9/17/24,D6,504,30,228
9/17/24,D6,504,60,226
9/17/24,D6,504,90,208
9/17/24,D6,504,120,221.5
9/17/24,D6,505,0,161
9/17/24,D6,505,15,200
9/17/24,D6,505,30,217
9/17/24,D6,505,60,221.5
9/17/24,D6,505,90,202.5
9/17/24,D6,505,120,194.5
9/17/24,D6,602,0,178
9/17/24,D6,602,15,245.5
9/17/24,D6,602,30,218
9/17/24,D6,602,60,203.5
9/17/24,D6,602,90,207
9/17/24,D6,602,120,195
9/17/24,D6,603,0,197.5
9/17/24,D6,603,15,257
9/17/24,D6,603,30,229
9/17/24,D6,603,60,209.5
9/17/24,D6,603,90,200.5
9/17/24,D6,603,120,201.5
9/17/24,D6,606,0,191.5
9/17/24,D6,606,15,333.5
9/17/24,D6,606,30,242.5
9/17/24,D6,606,60,204
9/17/24,D6,606,90,234.5
