feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Thermicanaceae.	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24037	-1.57104122006795	-2.9413168328098	-7.57670640045661	-9.28196313489548	-9.10033705791323	-3.72219773423579	-10.0040707703346	-10.4034266473811	-3.47896719877106	-4.86922367983595	-10.0460648589992	-2.3295890485061	-10.9922936025582	-12.1403922415474	-13.5085433531954	-10.6173954941326	-9.78760318295523	-4.3883959127781	-3.98133914566861	-11.9690238232354	-12.8262836511193	-12.262382765926	-7.12142772097273	-13.3498456071763	-14.4753764892602	-14.6868805944539	-11.1666237831205	-13.9806117975106	-14.1274531858399	-15.4753764892602	-14.9348081078975	-15.7648831064551	-15.2343683897564	-17.9348081078975	-16.9348081078975	-16.1274531858399	-16.3498456071763	-16.6128800130101	-17.7064622921882	-17.9167658560972	-16.6128800130101	-10.9632645539467	-11.4429550115678	-16.6128800130101	-15.9348081078975	-18.1178121742151	-15.3498456071763	-15.4753764892602	-13.4753764892602	-19.5641606567738	-17.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24044	-1.27598293120377	-3.08854544177306	-7.78435732120975	-9.32727511973347	-9.0757363527375	-3.25205976943839	-10.0978894949761	-10.588348009234	-4.59024818779633	-4.91147108569301	-10.2539289701634	-2.5303562864748	-11.0951016776044	-12.4254094381078	-12.572751154183	-10.4045508332101	-10.0729909759987	-4.43716597621583	-4.34124607237423	-11.7899818704036	-13.1577136549041	-12.3570224631275	-7.42584721539557	-13.6524783466537	-14.0675158459325	-14.4114702471499	-11.0895421522625	-13.5269474645698	-14.3045550432334	-14.7899818704036	-14.8639824518474	-15.5269474645698	-15.9419849638487	-15.4114702471499	-15.7899818704036	-15.7899818704036	-15.9419849638487	-17.111909965291	-17.7064622921882	-17.9167658560972	-19.2914247929094	-11.4752853447473	-10.8035709351516	-17.7035251190856	-15.5269474645698	-16.5269474645698	-17.7027746749362	-17.5269474645698	-13.4680537755163	-19.5641606567738	-17.5594766767074	-18.7027746749362	-17.7417434694334	-18.111909965291	-17.5269474645698	-18.7208621298642
HEB24059	-1.15371409979969	-2.55714422672184	-7.7466776108791	-9.27332463659131	-9.09823793003322	-5.23540251450263	-9.90180127292845	-10.81723697767	-5.40214368216809	-4.45004931946246	-10.1004090290748	-2.87597142071323	-11.0917441679477	-11.642558446257	-12.2466297699259	-10.335897108023	-10.1580358466569	-4.0423846952997	-4.1218191627941	-11.7205609582583	-12.7205609582583	-8.88486141050673	-6.79377080521208	-13.5685578648133	-13.831592270647	-14.3879856191714	-8.07137132418053	-13.7750087422807	-14.2275209469782	-15.1535203655344	-15.8904859597006	-18.0636715643208	-15.3055234589795	-15.6680935383642	-16.1535203655344	-16.8904859597006	-18.2731353904296	-19.332458386144	-15.4754484604218	-16.8904859597006	-19.2914247929094	-11.5565852231472	-10.1047610536146	-17.7035251190856	-18.0863565485147	-15.8904859597006	-15.4754484604218	-17.4754484604218	-14.083131037643	-19.5641606567738	-17.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24081	-4.79445137902498	-0.541133310372478	-7.73673469204236	-9.53966809184292	-9.43915685528342	-6.84612613337532	-10.1827112666393	-10.1852534612018	-8.91988853933877	-5.34084796868103	-10.0680157859174	-2.74510570246442	-11.455941439579	-12.6045379315808	-12.7778695344663	-10.9749063815259	-9.54129549758896	-5.11965805171455	-4.7294696195796	-12.8895148902953	-14.1625333847017	-12.4744773910164	-6.73231316978531	-13.808896430087	-14.7474958854228	-14.4744773910164	-9.63723009464823	-14.6886021963693	-15.0105302912566	-15.8730267675067	-14.9401409633652	-15.332458386144	-15.8730267675067	-16.1625333847017	-16.0105302912566	-15.7474958854228	-16.7474958854228	-18.332458386144	-17.7064622921882	-16.332458386144	-16.7474958854228	-12.2556427890932	-9.64595785896076	-17.7035251190856	-18.0863565485147	-18.1178121742151	-16.0105302912566	-14.6886021963693	-12.762602777813	-19.5641606567738	-17.5594766767074	-17.0105302912566	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24106	-1.48963961447184	-4.83891949387491	-7.79935941273544	-9.51940953648977	-9.39890289705319	-5.21511351207416	-8.27867379776475	-10.0251588589325	-6.89659413677008	-5.04540754277633	-10.2741864067724	-1.5056664321299	-10.8817267554688	-12.369886823193	-13.4896260674671	-10.5318543028564	-10.2446219492303	-3.76589949679011	-3.34374289712114	-12.0101566955933	-12.7638010309061	-11.2185222316574	-8.94213827216463	-13.3074227362464	-14.3827108635506	-14.2358694752213	-10.8771828303239	-13.6982126892785	-14.8681376907209	-15.3827108635506	-14.4896260674671	-15.1900657856082	-15.7306341669709	-16.0201407841659	-15.8681376907209	-18.0636715643208	-15.4896260674671	-19.332458386144	-17.7064622921882	-17.9167658560972	-19.2914247929094	-11.9516610462831	-11.9326779429156	-17.7035251190856	-18.0863565485147	-18.1178121742151	-15.7306341669709	-15.7306341669709	-12.7471222897595	-18.1900657856082	-16.1900657856082	-16.8681376907209	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24110	-3.26337900216233	-6.39141059342003	-7.45699410964974	-9.11591147831981	-9.00762554266989	-7.91106143565026	-9.72856571291002	-9.53461064210463	-6.83093128521482	-3.87881514118725	-9.94537710198317	-1.07349787293479	-10.5254738475325	-12.2600127043042	-12.6790970366457	-10.3734707540875	-10.4337312789049	-3.14122427349383	-2.36987618307374	-12.0567983846516	-13.6002416159345	-11.0673676263618	-8.69335102032596	-13.3999429654486	-13.72856571291	-14.3474755455545	-11.7797910362652	-13.5401206234969	-14.2006341572252	-14.8329023727248	-14.5109742778374	-14.5109742778374	-15.454390749471	-15.2479398720036	-15.8329023727248	-18.0636715643208	-16.8329023727248	-18.1548304676121	-15.8329023727248	-17.9167658560972	-19.2914247929094	-9.9650059087321	-11.2906443229578	-17.7035251190856	-18.0863565485147	-18.1178121742151	-17.7027746749362	-15.1548304676121	-13.8329023727248	-19.5641606567738	-16.1548304676121	-18.7027746749362	-17.7417434694334	-17.569867966891	-18.6881728897084	-16.8329023727248
HEB24113	-2.48346526713395	-5.7425207883614	-7.42706509123384	-9.12422183223792	-8.9570417326787	-6.30251479074802	-9.68140729006527	-10.186110218871	-4.87617623448562	-3.68901010287126	-9.94907102157012	-1.15495953070679	-10.4642120727937	-12.186110218871	-13.2434433939369	-10.3868075691081	-10.0822093527587	-3.74171377651461	-2.92471739261782	-12.0266320048638	-13.2434433939369	-11.5103822542266	-7.99346514092857	-12.9293348035089	-13.8090405697911	-13.9293348035089	-10.9371969212818	-13.0605793367871	-13.8679342588447	-15.4528967595659	-14.2829717581236	-14.7524570414248	-15.2829717581236	-15.2829717581236	-15.4528967595659	-15.1309686646785	-18.2731353904296	-19.332458386144	-17.7064622921882	-17.9167658560972	-19.2914247929094	-10.3868075691081	-10.5641535106676	-15.2829717581236	-18.0863565485147	-18.1178121742151	-17.7027746749362	-14.8679342588447	-13.9934651409286	-19.5641606567738	-16.1309686646785	-18.7027746749362	-16.4528967595659	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24122	-1.74396299250799	-3.28687325664341	-7.98673182873801	-9.46744550228523	-9.15370930526977	-1.3868968585203	-10.3620368329433	-10.7632607568535	-4.03683638312026	-5.76457546975027	-10.3743360978937	-3.81995750564093	-11.0803448795095	-12.5868807332738	-13.171843233995	-10.7729977682187	-9.07732563521071	-5.87121829746175	-5.42021947900527	-12.2332437786591	-12.905949174022	-11.6512713205438	-6.57938619672692	-13.4348776398288	-14.1378959020717	-14.3547072911448	-9.52524166748146	-13.8362402022106	-14.920304466999	-15.171843233995	-15.2422325618864	-15.5641606567738	-16.3942356553314	-15.8637209386327	-15.9791981560526	-16.3942356553314	-16.2422325618864	-17.2422325618864	-17.7064622921882	-16.5641606567738	-17.5641606567738	-12.7568057347162	-10.9605343117876	-16.3942356553314	-18.0863565485147	-16.2422325618864	-17.7027746749362	-16.7568057347162	-13.5417928437453	-18.5641606567738	-17.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24133	-1.52334785015225	-1.86605460671592	-7.81096904609411	-9.38324022787164	-9.38994525174953	-2.99142725784841	-9.4776881463912	-10.5409530398492	-3.51816434271732	-5.7182228919047	-10.2737789036545	-3.72231577138827	-11.3371578373901	-11.979395143463	-13.0204224117231	-10.7724948982795	-9.9963482767442	-5.29067095967246	-6.12723758015808	-12.1510065215332	-13.1662732781865	-12.8879721156994	-6.15742749415395	-13.3285447070854	-14.135899629143	-13.9659746277007	-9.46583356004542	-14.6333992886138	-14.5509371284218	-15.135899629143	-14.9135072078065	-15.0204224117231	-15.7208621298642	-16.3989340349768	-16.3989340349768	-16.135899629143	-16.7208621298642	-19.332458386144	-17.7064622921882	-16.7208621298642	-16.7208621298642	-13.1662732781865	-9.98615250963831	-17.7035251190856	-18.0863565485147	-16.3989340349768	-17.7027746749362	-18.5269474645698	-13.9135072078065	-19.5641606567738	-17.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-18.6881728897084	-17.7208621298642
HEB24134	-1.13487946451673	-6.70629474897223	-8.32625322627408	-9.88170244675223	-9.21944724710236	-1.70156090768484	-8.14406285348902	-11.191323646188	-3.55775329847682	-6.38357090390425	-10.8682819309899	-4.36858365684394	-11.3689281457776	-12.6231694331534	-13.6231694331534	-10.8907193201097	-10.2922525550388	-4.70990600252461	-5.77415535945855	-12.350150938747	-13.2539356234877	-10.7043061958788	-6.86883863369443	-13.7162788375449	-14.4007770118169	-17.6231694331534	-8.4316989014298	-14.4532444317111	-15.0382069324322	-15.2081319338745	-15.0382069324322	-15.4007770118169	-15.8862038389872	-16.8862038389872	-18.2914247929094	-16.6231694331534	-16.2081319338745	-19.332458386144	-15.2081319338745	-17.9167658560972	-19.2914247929094	-12.9793132433786	-10.6806549278141	-17.7035251190856	-18.0863565485147	-18.1178121742151	-15.4007770118169	-15.5076922157334	-14.8862038389872	-18.2081319338745	-17.5594766767074	-17.6231694331534	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24135	-1.16111806731665	-2.43633564086663	-7.7335921531214	-9.37128064440517	-9.0819385963133	-3.80621560603424	-9.48419574930057	-10.8804335414507	-3.61137367074976	-5.44532886234301	-10.2185536698406	-3.47234646926372	-11.0040920092018	-12.4398609500647	-12.9653224390372	-10.3408315741294	-10.2989101246963	-5.24194590961894	-5.31851829605874	-11.7905480379335	-12.5019219181969	-12.6877884635083	-4.9022542585694	-14.0097165583956	-13.8397915569533	-13.9653224390372	-9.1943332625821	-13.4247540576745	-14.4247540576745	-14.9222537171453	-14.7617890449521	-15.3092768402545	-15.3092768402545	-18.9348081078975	-18.2914247929094	-16.202361636338	-15.5502849397583	-19.332458386144	-16.6877884635083	-14.4247540576745	-19.2914247929094	-12.6877884635083	-10.9436273679379	-17.7035251190856	-18.0863565485147	-18.1178121742151	-17.7027746749362	-15.0097165583956	-14.0555202480088	-17.0097165583956	-17.5594766767074	-18.7027746749362	-16.6877884635083	-19.111909965291	-18.6881728897084	-16.4247540576745
HEB24136	-1.30008831605185	-2.89775650941145	-8.07101156659911	-9.74175392991325	-9.2844507036574	-1.9801577767881	-6.95374551442936	-10.0040087112802	-4.4115153287462	-6.52326596303272	-10.5657762583487	-4.36001223383299	-11.212439458742	-12.4402453762648	-13.4917756769049	-10.6149239076778	-10.1989939276771	-5.85871440868315	-6.24229585828819	-12.354272153155	-13.5182478882661	-13.2070461999718	-4.3967623368488	-13.9512072955422	-14.1856725491792	-14.366244794821	-8.93551348843706	-14.1856725491792	-15.6881728897084	-15.465780468372	-14.465780468372	-16.2731353904296	-16.465780468372	-16.465780468372	-16.465780468372	-16.6881728897084	-17.2731353904296	-17.6881728897084	-17.7064622921882	-17.9167658560972	-19.2914247929094	-14.025207876986	-11.2787819535707	-17.7035251190856	-16.6881728897084	-18.1178121742151	-17.7027746749362	-18.5269474645698	-12.8137037717923	-17.2731353904296	-17.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-17.6881728897084	-18.7208621298642
HEB24137	-1.76044506110836	-3.10804828419677	-7.6269249298774	-9.30499683499004	-8.92522466553039	-1.8842997019478	-10.1321602381278	-10.4533613513717	-3.46378989963362	-5.76161343802028	-10.0229614672262	-3.29229611957198	-11.0095409514639	-12.1674933112401	-13.25346653435	-10.3448895621136	-6.22662765583631	-4.54229770551158	-5.24479220078412	-11.9468051961159	-13.0202673580569	-11.7917357996231	-6.90179109606854	-13.5627945924577	-13.9988937072644	-14.1794659529062	-10.0723360781998	-13.7288045438966	-14.5013940477935	-14.6269249298774	-14.1794659529062	-15.5013940477935	-15.3859168303736	-16.7644284536273	-15.7644284536273	-15.7644284536273	-17.0863565485147	-17.5013940477935	-17.7064622921882	-16.0863565485147	-18.0863565485147	-13.0419624291562	-10.6310293282101	-17.7035251190856	-17.0863565485147	-15.9164315470724	-15.7644284536273	-14.2790016264571	-14.3314690463512	-19.5641606567738	-17.5594766767074	-18.7027746749362	-17.7417434694334	-19.111909965291	-18.6881728897084	-18.7208621298642
HEB24138	-1.27879712830852	-2.64429689174623	-8.06049815412219	-9.61182717327845	-9.39361683615538	-2.66973212919729	-10.2936870374713	-10.7659334604496	-3.11699661351194	-5.78362069845731	-10.5041752113031	-3.76437966919453	-11.4234873657375	-12.5561698489413	-13.5964337191551	-10.8690269534137	-10.2936870374713	-6.15067703741485	-5.00320117203619	-12.0859494343932	-13.0575676330234	-13.3936168361554	-7.51418423605361	-13.8007922176613	-14.9320367509395	-14.3243541737183	-9.96680216910019	-14.7393916729971	-15.3243541737183	-15.6239144555772	-15.6239144555772	-15.7393916729971	-16.0024260788309	-16.154429172276	-16.7393916729971	-16.5169992516607	-17.0024260788309	-19.332458386144	-17.7064622921882	-17.9167658560972	-19.2914247929094	-13.6239144555772	-10.9800582658025	-17.7035251190856	-16.7393916729971	-18.1178121742151	-17.7027746749362	-17.3243541737183	-12.8486207427519	-17.7393916729971	-17.5594766767074	-16.7393916729971	-17.7417434694334	-19.111909965291	-18.6881728897084	-17.3243541737183
